RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644418433,189,job65_scenario0_128,notAssignedYet,128,notAssignedYet,long_waiting_time,
1644418434,213,job78_scenario0_152,notAssignedYet,152,notAssignedYet,long_waiting_time,
1644418437,255,job100_scenario0_194,notAssignedYet,194,notAssignedYet,long_waiting_time,
1644418437,260,job103_scenario0_199,notAssignedYet,199,notAssignedYet,long_waiting_time,
1644418438,263,job105_scenario0_202,notAssignedYet,202,notAssignedYet,long_waiting_time,
1644418438,265,job107_scenario0_204,notAssignedYet,204,notAssignedYet,long_waiting_time,
1644418440,312,job132_scenario0_251,notAssignedYet,251,notAssignedYet,long_waiting_time,
1644418441,323,job136_scenario0_262,notAssignedYet,262,notAssignedYet,long_waiting_time,
1644418441,334,job142_scenario0_273,notAssignedYet,273,notAssignedYet,long_waiting_time,
1644418442,345,job147_scenario0_284,notAssignedYet,284,notAssignedYet,long_waiting_time,
1644418444,371,job163_scenario0_310,notAssignedYet,310,notAssignedYet,long_waiting_time,
1644418445,390,job175_scenario0_329,notAssignedYet,329,notAssignedYet,long_waiting_time,
1644418446,406,job186_scenario0_345,notAssignedYet,345,notAssignedYet,long_waiting_time,
1644418446,409,job189_scenario0_348,notAssignedYet,348,notAssignedYet,long_waiting_time,
1644418452,542,job260_scenario0_481,notAssignedYet,481,notAssignedYet,long_waiting_time,
1644418454,580,job281_scenario0_519,notAssignedYet,519,notAssignedYet,long_waiting_time,
1644418457,628,job303_scenario0_567,notAssignedYet,567,notAssignedYet,long_waiting_time,
1644418464,698,job338_scenario0_637,notAssignedYet,637,notAssignedYet,long_waiting_time,
1644418466,714,job347_scenario0_653,notAssignedYet,653,notAssignedYet,long_waiting_time,
1644418491,1010,job482_scenario0_949,notAssignedYet,949,notAssignedYet,long_waiting_time,
1644418506,1198,job560_scenario1_1137,notAssignedYet,1137,notAssignedYet,long_waiting_time,
