RecordTimeStamp,JobId,WorkerId,JobArrivalTick,JobAssignmentTick,JobFetchTick,JobStartByOperatorTime,JobActiveTime,JobRemainingTime,CleanWorkingTime,JobEndByOperatorTime,WorkerFreeAgainTick
1644418428,job0_scenario1_0,B54,0,-1,1,1,5,0,5,6,7,
1644418428,job2_scenario2_7,B14,7,-1,8,8,5,0,5,13,14,
1644418428,job1_scenario1_4,B54,4,-1,8,8,6,0,6,14,15,
1644418428,job4_scenario1_11,B54,11,-1,15,15,6,0,6,21,22,
1644418428,job3_scenario1_9,B14,9,-1,15,15,8,0,8,23,24,
1644418428,job8_scenario1_20,B54,20,-1,23,23,1,0,1,24,25,
1644418429,job10_scenario4_24,B54,24,-1,25,25,2,0,2,27,28,
1644418429,job6_scenario1_18,in27,18,-1,19,19,11,0,11,30,31,
1644418429,job9_scenario1_22,B14,22,-1,25,25,9,0,9,34,35,
1644418429,job11_scenario0_26,B54,26,-1,29,29,12,0,12,41,42,
1644418429,job14_scenario2_33,B14,33,-1,35,35,6,0,6,41,42,
1644418429,job7_scenario1_19,cn12,19,-1,23,23,20,0,20,43,44,
1644418429,job5_scenario0_15,B11,15,-1,21,21,23,0,23,44,45,
1644418429,job17_scenario2_37,B14,37,-1,43,43,3,0,3,46,47,
1644418429,job13_scenario1_32,in27,32,-1,33,33,14,0,14,47,48,
1644418429,job15_scenario4_34,B54,34,-1,43,43,5,0,5,48,49,
1644418429,job19_scenario2_43,B14,43,-1,48,48,2,0,2,50,51,
1644418430,job18_scenario3_40,B11,40,-1,45,45,6,0,6,51,52,
1644418430,job21_scenario1_49,B54,49,-1,50,50,5,0,5,55,56,
1644418430,job16_scenario1_35,B14,35,-1,53,53,7,0,7,60,61,
1644418430,job12_scenario1_31,in27,31,-1,48,48,13,0,13,61,62,
1644418430,job24_scenario1_55,B54,55,-1,56,56,6,0,6,62,63,
1644418430,job20_scenario3_47,cn12,47,-1,50,50,13,0,13,63,64,
1644418430,job23_scenario1_54,B11,54,-1,55,55,10,0,10,65,66,
1644418430,job26_scenario4_59,B11,59,-1,66,66,2,0,2,68,69,
1644418431,job25_scenario1_56,B54,56,-1,64,64,6,0,6,70,71,
1644418431,job22_scenario1_52,in27,52,-1,62,62,9,0,9,71,72,
1644418431,job29_scenario2_65,B54,65,-1,71,71,6,0,6,77,78,
1644418431,job30_scenario4_66,B11,66,-1,69,69,9,0,9,78,79,
1644418431,job27_scenario0_60,B14,60,-1,61,61,19,0,19,80,81,
1644418431,job28_scenario1_61,cn12,61,-1,64,64,19,0,19,83,84,
1644418431,job33_scenario4_69,B11,69,-1,79,79,4,0,4,83,84,
1644418431,job32_scenario2_68,B14,68,-1,81,81,5,0,5,86,87,
1644418431,job40_scenario3_82,B11,82,-1,85,85,1,0,1,86,87,
1644418431,job37_scenario1_74,B54,74,-1,79,79,8,0,8,87,88,
1644418431,job34_scenario3_70,cn12,70,-1,85,85,6,0,6,91,92,
1644418431,job38_scenario1_78,B54,78,-1,88,88,5,0,5,93,94,
1644418432,job41_scenario1_86,B11,86,-1,87,87,8,0,8,95,96,
1644418432,job43_scenario4_88,B11,88,-1,96,96,3,0,3,99,100,
1644418432,job31_scenario0_67,in27,67,-1,73,73,27,0,27,100,101,
1644418432,job35_scenario0_72,B14,72,-1,87,87,17,0,17,104,105,
1644418432,job49_scenario4_96,B11,96,-1,100,100,5,0,5,105,106,
1644418432,job39_scenario0_80,B54,80,-1,94,94,14,0,14,108,109,
1644418432,job48_scenario2_95,B14,95,-1,105,105,5,0,5,110,111,
1644418432,job45_scenario1_91,B11,91,-1,106,106,8,0,8,114,115,
1644418432,job36_scenario1_73,cn12,73,-1,92,92,23,0,23,115,116,
1644418433,job50_scenario1_99,B54,99,-1,109,109,7,0,7,116,117,
1644418433,job46_scenario2_93,B14,93,-1,111,111,5,0,5,116,117,
1644418433,job55_scenario4_105,B11,105,-1,116,116,3,0,3,119,120,
1644418433,job58_scenario3_111,cn12,111,-1,116,116,9,0,9,125,126,
1644418433,job53_scenario1_103,B11,103,-1,120,120,6,0,6,126,127,
1644418433,job42_scenario0_87,in27,87,-1,102,102,25,0,25,127,128,
1644418433,job56_scenario1_108,B14,108,-1,118,118,9,0,9,127,128,
1644418434,job47_scenario0_94,B54,94,-1,118,118,15,0,15,133,134,
1644418434,job52_scenario2_102,B14,102,-1,128,128,5,0,5,133,134,
1644418434,job64_scenario2_127,B14,127,-1,134,134,3,0,3,137,138,
1644418434,job44_scenario1_89,B11,89,-1,127,127,11,0,11,138,139,
1644418434,job68_scenario3_138,B14,138,-1,139,139,5,0,5,144,145,
1644418434,job57_scenario2_110,cn12,110,-1,127,127,18,0,18,145,146,
1644418434,job51_scenario0_101,B54,101,-1,134,134,13,0,13,147,148,
1644418435,job63_scenario1_124,B11,124,-1,139,139,11,0,11,150,151,
1644418435,job66_scenario1_133,B14,133,-1,145,145,6,0,6,151,152,
1644418435,job59_scenario0_113,in27,113,-1,128,128,26,0,26,154,155,
1644418435,job69_scenario3_139,cn12,139,-1,147,147,8,0,8,155,156,
1644418435,job60_scenario3_118,B14,118,-1,152,152,3,0,3,155,156,
1644418435,job72_scenario3_144,B11,144,-1,151,151,5,0,5,156,157,
1644418435,job73_scenario1_146,B14,146,-1,157,157,3,0,3,160,161,
1644418435,job75_scenario4_148,B11,148,-1,157,157,7,0,7,164,165,
1644418436,job61_scenario0_119,B54,119,-1,148,148,18,0,18,166,167,
1644418436,job67_scenario4_135,cn12,135,-1,157,157,10,0,10,167,168,
1644418436,job70_scenario1_141,B54,141,-1,167,167,3,0,3,170,171,
1644418436,job74_scenario1_147,B14,147,-1,161,161,11,0,11,172,173,
1644418436,job71_scenario1_142,B11,142,-1,166,166,10,0,10,176,177,
1644418436,job77_scenario2_151,B14,151,-1,173,173,3,0,3,176,177,
1644418437,job80_scenario1_156,B54,156,-1,172,172,8,0,8,180,181,
1644418437,job54_scenario0_104,in27,104,-1,155,155,26,0,26,181,182,
1644418437,job89_scenario3_166,B14,166,-1,178,178,3,0,3,181,182,
1644418437,job81_scenario2_157,B54,157,-1,181,181,5,0,5,186,187,
1644418437,job83_scenario3_159,in27,159,-1,183,183,4,0,4,187,188,
1644418437,job76_scenario1_150,cn12,150,-1,168,168,20,0,20,188,189,
1644418437,job95_scenario3_175,B14,175,-1,183,183,6,0,6,189,190,
1644418437,job85_scenario1_161,B11,161,-1,178,178,12,0,12,190,191,
1644418437,job82_scenario1_158,B54,158,-1,188,188,3,0,3,191,192,
1644418438,job79_scenario1_154,B14,154,-1,190,190,5,0,5,195,196,
1644418438,job88_scenario1_165,B54,165,-1,193,193,3,0,3,196,197,
1644418438,job93_scenario1_172,in27,172,-1,188,188,11,0,11,199,200,
1644418438,job86_scenario1_162,B11,162,-1,191,191,9,0,9,200,201,
1644418438,job101_scenario3_195,B11,195,-1,201,201,2,0,2,203,204,
1644418438,job92_scenario3_171,B11,171,-1,204,204,6,0,6,210,211,
1644418439,job91_scenario0_168,B54,168,-1,198,198,13,0,13,211,212,
1644418439,job87_scenario1_163,cn12,163,-1,190,190,23,0,23,213,214,
1644418439,job104_scenario1_200,B54,200,-1,212,212,1,0,1,213,214,
1644418439,job84_scenario0_160,B14,160,-1,196,196,20,0,20,216,217,
1644418439,job110_scenario2_207,B14,207,-1,218,218,2,0,2,220,221,
1644418439,job96_scenario1_180,B11,180,-1,212,212,11,0,11,223,224,
1644418440,job90_scenario0_167,in27,167,-1,200,200,26,0,26,226,227,
1644418440,job94_scenario0_174,B54,174,-1,214,214,14,0,14,228,229,
1644418440,job111_scenario2_208,B14,208,-1,221,221,7,0,7,228,229,
1644418440,job109_scenario2_206,B14,206,-1,230,230,3,0,3,233,234,
1644418440,job106_scenario1_203,B11,203,-1,225,225,12,0,12,237,238,
1644418440,job117_scenario1_219,B54,219,-1,230,230,10,0,10,240,241,
1644418440,job116_scenario1_218,B14,218,-1,234,234,7,0,7,241,242,
1644418440,job115_scenario1_217,B54,217,-1,241,241,2,0,2,243,244,
1644418440,job123_scenario2_233,B14,233,-1,243,243,3,0,3,246,247,
1644418440,job108_scenario1_205,B11,205,-1,239,239,9,0,9,248,249,
1644418441,job112_scenario2_211,B54,211,-1,245,245,5,0,5,250,251,
1644418441,job97_scenario0_182,in27,182,-1,227,227,24,0,24,251,252,
1644418441,job126_scenario3_240,B11,240,-1,249,249,3,0,3,252,253,
1644418441,job120_scenario1_226,B54,226,-1,252,252,6,0,6,258,259,
1644418441,job121_scenario4_227,in27,227,-1,252,252,7,0,7,259,260,
1644418441,job99_scenario0_190,B14,190,-1,247,247,15,0,15,262,263,
1644418441,job98_scenario0_185,cn12,185,-1,214,214,49,0,49,263,264,
1644418441,job128_scenario2_246,B14,246,-1,263,263,8,0,8,271,272,
1644418441,job103_scenario0_199,B54,199,-1,260,260,12,0,12,272,273,
1644418441,job118_scenario1_220,in27,220,-1,260,260,13,0,13,273,274,
1644418442,job100_scenario0_194,B11,194,-1,254,254,23,0,23,277,278,
1644418442,job130_scenario2_248,B14,248,-1,272,272,5,0,5,277,278,
1644418442,job133_scenario2_254,B54,254,-1,274,274,4,0,4,278,279,
1644418442,job127_scenario2_242,B14,242,-1,279,279,6,0,6,285,286,
1644418442,job119_scenario1_225,cn12,225,-1,265,265,21,0,21,286,287,
1644418442,job134_scenario1_256,B54,256,-1,279,279,7,0,7,286,287,
1644418442,job125_scenario1_239,B11,239,-1,279,279,11,0,11,290,291,
1644418443,job138_scenario2_267,B14,267,-1,287,287,5,0,5,292,293,
1644418443,job122_scenario0_231,B54,231,-1,287,287,11,0,11,298,299,
1644418443,job114_scenario0_213,in27,213,-1,274,274,26,0,26,300,301,
1644418443,job140_scenario3_269,cn12,269,-1,287,287,13,0,13,300,301,
1644418443,job146_scenario4_280,B14,280,-1,294,294,8,0,8,302,303,
1644418443,job124_scenario1_238,B11,238,-1,291,291,12,0,12,303,304,
1644418443,job143_scenario1_274,B54,274,-1,299,299,5,0,5,304,305,
1644418443,job153_scenario3_298,B11,298,-1,304,304,3,0,3,307,308,
1644418444,job148_scenario3_288,in27,288,-1,302,302,8,0,8,310,311,
1644418444,job137_scenario1_264,B14,264,-1,304,304,7,0,7,311,312,
1644418444,job149_scenario1_290,B54,290,-1,305,305,7,0,7,312,313,
1644418444,job150_scenario4_291,B11,291,-1,308,308,4,0,4,312,313,
1644418444,job151_scenario2_293,B14,293,-1,313,313,4,0,4,317,318,
1644418444,job135_scenario2_259,cn12,259,-1,302,302,17,0,17,319,320,
1644418444,job152_scenario2_296,B54,296,-1,313,313,6,0,6,319,320,
1644418444,job157_scenario2_304,B14,304,-1,318,318,2,0,2,320,321,
1644418444,job141_scenario1_271,in27,271,-1,311,311,11,0,11,322,323,
1644418444,job165_scenario4_313,B54,313,-1,321,321,1,0,1,322,323,
1644418444,job156_scenario4_303,B14,303,-1,321,321,5,0,5,326,327,
1644418444,job145_scenario1_279,B54,279,-1,323,323,4,0,4,327,328,
1644418445,job144_scenario2_278,B11,278,-1,313,313,15,0,15,328,329,
1644418445,job166_scenario4_314,in27,314,-1,323,323,6,0,6,329,330,
1644418445,job164_scenario3_312,in27,312,-1,330,330,2,0,2,332,333,
1644418445,job170_scenario2_321,B14,321,-1,328,328,5,0,5,333,334,
1644418445,job159_scenario3_306,B11,306,-1,330,330,3,0,3,333,334,
1644418445,job160_scenario2_307,B14,307,-1,334,334,3,0,3,337,338,
1644418445,job139_scenario1_268,cn12,268,-1,321,321,17,0,17,338,339,
1644418445,job142_scenario0_273,B54,273,-1,328,328,13,0,13,341,342,
1644418445,job162_scenario3_309,B11,309,-1,334,334,8,0,8,342,343,
1644418446,job158_scenario1_305,in27,305,-1,333,333,12,0,12,345,346,
1644418446,job174_scenario2_327,B14,327,-1,338,338,7,0,7,345,346,
1644418446,job172_scenario2_324,B54,324,-1,343,343,5,0,5,348,349,
1644418446,job173_scenario3_325,cn12,325,-1,340,340,10,0,10,350,351,
1644418446,job167_scenario2_316,B14,316,-1,346,346,5,0,5,351,352,
1644418446,job155_scenario1_301,B11,301,-1,343,343,12,0,12,355,356,
1644418446,job154_scenario1_299,B14,299,-1,352,352,6,0,6,358,359,
1644418446,job161_scenario0_308,B54,308,-1,349,349,11,0,11,360,361,
1644418446,job168_scenario1_317,in27,317,-1,346,346,15,0,15,361,362,
1644418446,job181_scenario3_337,B11,337,-1,356,356,7,0,7,363,364,
1644418447,job190_scenario1_349,B54,349,-1,361,361,6,0,6,367,368,
1644418447,job180_scenario2_335,B14,335,-1,360,360,9,0,9,369,370,
1644418447,job188_scenario3_347,B11,347,-1,365,365,5,0,5,370,371,
1644418447,job185_scenario2_343,B54,343,-1,368,368,3,0,3,371,372,
1644418447,job177_scenario1_332,in27,332,-1,362,362,10,0,10,372,373,
1644418447,job182_scenario2_339,B14,339,-1,371,371,5,0,5,376,377,
1644418447,job195_scenario3_360,in27,360,-1,373,373,3,0,3,376,377,
1644418447,job171_scenario1_322,cn12,322,-1,352,352,25,0,25,377,378,
1644418447,job176_scenario1_330,B11,330,-1,371,371,6,0,6,377,378,
1644418447,job183_scenario1_340,B54,340,-1,372,372,6,0,6,378,379,
1644418447,job203_scenario4_373,B11,373,-1,378,378,1,0,1,379,380,
1644418448,job196_scenario2_361,B14,361,-1,378,378,5,0,5,383,384,
1644418448,job202_scenario4_372,B54,372,-1,380,380,7,0,7,387,388,
1644418448,job187_scenario3_346,cn12,346,-1,378,378,10,0,10,388,389,
1644418448,job192_scenario1_356,B11,356,-1,380,380,8,0,8,388,389,
1644418448,job179_scenario1_334,in27,334,-1,378,378,13,0,13,391,392,
1644418448,job193_scenario1_357,B14,357,-1,384,384,7,0,7,391,392,
1644418448,job198_scenario1_365,B54,365,-1,388,388,5,0,5,393,394,
1644418448,job208_scenario3_383,B14,383,-1,392,392,6,0,6,398,399,
1644418448,job194_scenario1_359,B11,359,-1,390,390,9,0,9,399,400,
1644418448,job210_scenario4_387,in27,387,-1,392,392,9,0,9,401,402,
1644418448,job200_scenario1_368,B54,368,-1,394,394,8,0,8,402,403,
1644418449,job199_scenario1_367,B14,367,-1,399,399,6,0,6,405,406,
1644418449,job178_scenario1_333,cn12,333,-1,390,390,17,0,17,407,408,
1644418449,job209_scenario1_386,B54,386,-1,403,403,4,0,4,407,408,
1644418449,job214_scenario2_396,B14,396,-1,407,407,4,0,4,411,412,
1644418449,job205_scenario1_377,B54,377,-1,408,408,4,0,4,412,413,
1644418449,job191_scenario1_355,B11,355,-1,401,401,12,0,12,413,414,
1644418449,job201_scenario1_371,in27,371,-1,403,403,11,0,11,414,415,
1644418449,job207_scenario4_381,cn12,381,-1,408,408,8,0,8,416,417,
1644418449,job215_scenario3_398,B14,398,-1,412,412,4,0,4,416,417,
1644418449,job206_scenario1_379,B54,379,-1,414,414,2,0,2,416,417,
1644418450,job219_scenario4_404,B11,404,-1,414,414,7,0,7,421,422,
1644418450,job216_scenario1_400,B14,400,-1,418,418,8,0,8,426,427,
1644418450,job222_scenario1_409,B54,409,-1,418,418,8,0,8,426,427,
1644418450,job217_scenario3_402,cn12,402,-1,418,418,9,0,9,427,428,
1644418450,job225_scenario2_415,B14,415,-1,427,427,4,0,4,431,432,
1644418450,job223_scenario1_411,B54,411,-1,427,427,6,0,6,433,434,
1644418450,job204_scenario1_374,B11,374,-1,422,422,13,0,13,435,436,
1644418450,job197_scenario0_362,in27,362,-1,416,416,22,0,22,438,439,
1644418450,job221_scenario1_407,B14,407,-1,433,433,8,0,8,441,442,
1644418450,job224_scenario1_413,B54,413,-1,435,435,7,0,7,442,443,
1644418450,job227_scenario3_421,B11,421,-1,436,436,6,0,6,442,443,
1644418451,job233_scenario3_430,B11,430,-1,443,443,2,0,2,445,446,
1644418451,job231_scenario2_427,B14,427,-1,443,443,4,0,4,447,448,
1644418451,job235_scenario2_435,B54,435,-1,443,443,5,0,5,448,449,
1644418451,job218_scenario1_403,cn12,403,-1,428,428,21,0,21,449,450,
1644418451,job212_scenario1_392,in27,392,-1,439,439,11,0,11,450,451,
1644418451,job234_scenario3_432,B11,432,-1,446,446,5,0,5,451,452,
1644418451,job232_scenario4_428,B54,428,-1,449,449,2,0,2,451,452,
1644418451,job229_scenario2_424,B14,424,-1,449,449,3,0,3,452,453,
1644418451,job236_scenario2_436,B14,436,-1,454,454,2,0,2,456,457,
1644418451,job239_scenario3_445,B11,445,-1,452,452,5,0,5,457,458,
1644418451,job238_scenario2_439,B14,439,-1,457,457,4,0,4,461,462,
1644418451,job226_scenario3_419,cn12,419,-1,450,450,12,0,12,462,463,
1644418452,job242_scenario3_453,B11,453,-1,458,458,6,0,6,464,465,
1644418452,job211_scenario0_391,B54,391,-1,452,452,14,0,14,466,467,
1644418452,job240_scenario2_449,B14,449,-1,463,463,3,0,3,466,467,
1644418452,job237_scenario4_438,B11,438,-1,465,465,2,0,2,467,468,
1644418452,job248_scenario3_464,B11,464,-1,468,468,2,0,2,470,471,
1644418452,job246_scenario2_459,B14,459,-1,467,467,4,0,4,471,472,
1644418452,job251_scenario2_469,B14,469,-1,473,473,2,0,2,475,476,
1644418452,job213_scenario0_393,in27,393,-1,452,452,25,0,25,477,478,
1644418453,job245_scenario2_457,B14,457,-1,476,476,2,0,2,478,479,
1644418453,job230_scenario0_426,B54,426,-1,467,467,14,0,14,481,482,
1644418453,job243_scenario4_454,in27,454,-1,478,478,4,0,4,482,483,
1644418453,job255_scenario1_474,B14,474,-1,480,480,5,0,5,485,486,
1644418453,job247_scenario1_463,B54,463,-1,482,482,4,0,4,486,487,
1644418453,job258_scenario1_477,B54,477,-1,487,487,2,0,2,489,490,
1644418453,job256_scenario4_475,B14,475,-1,486,486,5,0,5,491,492,
1644418453,job241_scenario0_451,B11,451,-1,471,471,22,0,22,493,494,
1644418453,job257_scenario2_476,B54,476,-1,490,490,4,0,4,494,495,
1644418453,job254_scenario2_473,in27,473,-1,484,484,12,0,12,496,497,
1644418454,job244_scenario1_456,B54,456,-1,495,495,5,0,5,500,501,
1644418454,job259_scenario1_480,B14,480,-1,492,492,9,0,9,501,502,
1644418454,job267_scenario3_491,in27,491,-1,498,498,5,0,5,503,504,
1644418454,job264_scenario2_488,B14,488,-1,502,502,6,0,6,508,509,
1644418454,job263_scenario2_486,B11,486,-1,495,495,15,0,15,510,511,
1644418454,job228_scenario0_423,cn12,423,-1,463,463,54,0,54,517,518,
1644418454,job252_scenario0_470,B54,470,-1,502,502,15,0,15,517,518,
1644418454,job266_scenario4_490,B11,490,-1,512,512,6,0,6,518,519,
1644418454,job262_scenario1_485,B14,485,-1,509,509,11,0,11,520,521,
1644418454,job253_scenario3_472,B11,472,-1,519,519,3,0,3,522,523,
1644418455,job278_scenario1_513,B54,513,-1,519,519,6,0,6,525,526,
1644418455,job274_scenario2_508,B14,508,-1,522,522,4,0,4,526,527,
1644418455,job269_scenario3_494,B11,494,-1,523,523,5,0,5,528,529,
1644418455,job250_scenario0_467,in27,467,-1,505,505,26,0,26,531,532,
1644418455,job277_scenario2_512,B14,512,-1,527,527,5,0,5,532,533,
1644418455,job279_scenario1_514,B54,514,-1,527,527,6,0,6,533,534,
1644418455,job272_scenario4_502,cn12,502,-1,519,519,15,0,15,534,535,
1644418455,job282_scenario2_521,B14,521,-1,533,533,4,0,4,537,538,
1644418455,job273_scenario1_506,B54,506,-1,535,535,5,0,5,540,541,
1644418455,job270_scenario1_499,B11,499,-1,530,530,11,0,11,541,542,
1644418455,job271_scenario1_501,in27,501,-1,533,533,10,0,10,543,544,
1644418455,job284_scenario2_524,B14,524,-1,539,539,5,0,5,544,545,
1644418455,job286_scenario4_527,B11,527,-1,542,542,4,0,4,546,547,
1644418455,job285_scenario1_526,B54,526,-1,542,542,5,0,5,547,548,
1644418456,job287_scenario2_534,B54,534,-1,548,548,5,0,5,553,554,
1644418456,job268_scenario2_492,cn12,492,-1,535,535,19,0,19,554,555,
1644418456,job283_scenario1_522,in27,522,-1,544,544,10,0,10,554,555,
1644418456,job275_scenario1_509,B14,509,-1,545,545,9,0,9,554,555,
1644418456,job280_scenario1_516,B11,516,-1,548,548,10,0,10,558,559,
1644418456,job289_scenario2_543,B14,543,-1,555,555,3,0,3,558,559,
1644418457,job290_scenario3_544,B11,544,-1,559,559,2,0,2,561,562,
1644418457,job295_scenario4_553,B11,553,-1,562,562,3,0,3,565,566,
1644418457,job288_scenario1_535,B14,535,-1,559,559,7,0,7,566,567,
1644418458,job276_scenario0_511,B54,511,-1,554,554,13,0,13,567,568,
1644418458,job299_scenario4_560,B11,560,-1,567,567,3,0,3,570,571,
1644418458,job297_scenario1_555,B54,555,-1,568,568,4,0,4,572,573,
1644418459,job300_scenario4_561,B14,561,-1,567,567,6,0,6,573,574,
1644418459,job291_scenario1_545,cn12,545,-1,555,555,21,0,21,576,577,
1644418459,job281_scenario0_519,in27,519,-1,555,555,22,0,22,577,578,
1644418460,job304_scenario4_570,B54,570,-1,574,574,5,0,5,579,580,
1644418460,job294_scenario1_551,B11,551,-1,571,571,9,0,9,580,581,
1644418460,job306_scenario3_576,in27,576,-1,578,578,6,0,6,584,585,
