RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644418604,0,1,job0_scenario1_0,B54,0,5,5,
1644418604,4,5,job1_scenario1_4,B14,4,8,4,
1644418604,7,8,job2_scenario2_7,B54,7,7,4,
1644418604,9,10,job3_scenario1_9,B11,9,11,3,
1644418604,11,12,job4_scenario1_11,in27,11,13,2,
1644418604,15,16,job5_scenario0_15,B54,15,12,3,
1644418604,18,19,job6_scenario1_18,B14,18,9,2,
1644418604,19,20,job7_scenario1_19,cn12,19,20,1,
1644418604,21,22,job8_scenario1_20,B11,20,8,1,
1644418605,25,26,job10_scenario4_24,in27,24,5,1,
1644418605,28,29,job9_scenario1_22,B14,22,9,2,
1644418605,28,29,job11_scenario0_26,B54,26,12,1,
1644418605,31,32,job12_scenario1_31,B11,31,9,2,
1644418605,32,33,job13_scenario1_32,in27,32,14,1,
1644418605,38,39,job14_scenario2_33,B14,33,6,1,
1644418605,40,41,job15_scenario4_34,cn12,34,14,1,
1644418605,41,42,job16_scenario1_35,B11,35,8,2,
1644418605,41,42,job17_scenario2_37,B54,37,7,1,
1644418606,45,46,job18_scenario3_40,B14,40,2,1,
1644418606,47,48,job19_scenario2_43,in27,43,13,1,
1644418606,48,49,job20_scenario3_47,B14,47,3,1,
1644418606,49,50,job21_scenario1_49,B54,49,5,1,
1644418606,52,53,job22_scenario1_52,B14,52,7,2,
1644418606,54,55,job23_scenario1_54,B11,54,10,1,
1644418606,55,56,job24_scenario1_55,B54,55,6,2,
1644418606,56,57,job25_scenario1_56,cn12,56,21,1,
1644418606,60,61,job26_scenario4_59,B14,59,5,1,
1644418606,61,62,job28_scenario1_61,in27,61,12,1,
1644418607,62,63,job27_scenario0_60,B54,60,14,1,
1644418607,65,66,job29_scenario2_65,B11,65,9,1,
1644418607,66,67,job30_scenario4_66,B14,66,9,1,
1644418607,74,75,job34_scenario3_70,in27,70,3,1,
1644418607,75,76,job33_scenario4_69,B11,69,4,1,
