RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644418627,148,job42_scenario0_87,notAssignedYet,87,notAssignedYet,long_waiting_time,
1644418628,155,job47_scenario0_94,notAssignedYet,94,notAssignedYet,long_waiting_time,
1644418629,174,job59_scenario0_113,notAssignedYet,113,notAssignedYet,long_waiting_time,
1644418629,184,job62_scenario0_123,notAssignedYet,123,notAssignedYet,long_waiting_time,
1644418630,189,job65_scenario0_128,notAssignedYet,128,notAssignedYet,long_waiting_time,
1644418631,213,job78_scenario0_152,notAssignedYet,152,notAssignedYet,long_waiting_time,
1644418633,246,job98_scenario0_185,notAssignedYet,185,notAssignedYet,long_waiting_time,
1644418633,255,job100_scenario0_194,notAssignedYet,194,notAssignedYet,long_waiting_time,
1644418633,259,job102_scenario0_198,notAssignedYet,198,notAssignedYet,long_waiting_time,
1644418633,263,job105_scenario0_202,notAssignedYet,202,notAssignedYet,long_waiting_time,
1644418633,265,job107_scenario0_204,notAssignedYet,204,notAssignedYet,long_waiting_time,
1644418634,273,job113_scenario0_212,notAssignedYet,212,notAssignedYet,long_waiting_time,
1644418634,274,job114_scenario0_213,notAssignedYet,213,notAssignedYet,long_waiting_time,
1644418636,308,job129_scenario0_247,notAssignedYet,247,notAssignedYet,long_waiting_time,
1644418636,323,job136_scenario0_262,notAssignedYet,262,notAssignedYet,long_waiting_time,
1644418637,345,job147_scenario0_284,notAssignedYet,284,notAssignedYet,long_waiting_time,
1644418639,369,job161_scenario0_308,notAssignedYet,308,notAssignedYet,long_waiting_time,
1644418639,371,job163_scenario0_310,notAssignedYet,310,notAssignedYet,long_waiting_time,
1644418640,381,job169_scenario0_320,notAssignedYet,320,notAssignedYet,long_waiting_time,
1644418640,390,job175_scenario0_329,notAssignedYet,329,notAssignedYet,long_waiting_time,
1644418641,403,job184_scenario0_342,notAssignedYet,342,notAssignedYet,long_waiting_time,
1644418641,423,job197_scenario0_362,notAssignedYet,362,notAssignedYet,long_waiting_time,
1644418644,467,job220_scenario0_406,notAssignedYet,406,notAssignedYet,long_waiting_time,
1644418646,512,job241_scenario0_451,notAssignedYet,451,notAssignedYet,long_waiting_time,
1644418647,527,job249_scenario0_466,notAssignedYet,466,notAssignedYet,long_waiting_time,
1644418652,628,job303_scenario0_567,notAssignedYet,567,notAssignedYet,long_waiting_time,
1644418653,650,job314_scenario0_589,notAssignedYet,589,notAssignedYet,long_waiting_time,
1644418654,670,job326_scenario0_609,notAssignedYet,609,notAssignedYet,long_waiting_time,
1644418655,714,job347_scenario0_653,notAssignedYet,653,notAssignedYet,long_waiting_time,
1644418663,962,job457_scenario0_901,notAssignedYet,901,notAssignedYet,long_waiting_time,
1644418664,994,job474_scenario0_933,notAssignedYet,933,notAssignedYet,long_waiting_time,
1644418667,1114,job524_scenario0_1053,notAssignedYet,1053,notAssignedYet,long_waiting_time,
1644418667,1120,job528_scenario0_1059,notAssignedYet,1059,notAssignedYet,long_waiting_time,
1644418667,1135,job532_scenario0_1074,notAssignedYet,1074,notAssignedYet,long_waiting_time,
1644418668,1161,job546_scenario0_1100,notAssignedYet,1100,notAssignedYet,long_waiting_time,
