tickNumber,in27,B14,B11,cn12,B54,B51,os4,
0,,,,,|0_0_4_0_,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,|4_4_4_1_,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,|7_7_6_2_,
8,,,,,,,,
9,,,,,|9_9_4_3_,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,|11_12_4_4_,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,|15_15_5_5_,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,|19_19_4_7_,,,
20,,,,,,,,
21,,,,,|18_21_4_6_,,,
22,,,,,,,,
23,,,,,|20_23_4_8_|22_23_4_9_,,,
24,,|24_24_1_10_,,,,,,
25,,,,,,,,
26,,,,,,|26_26_5_11_,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,|32_33_4_13_,,,
34,,,,,,,,
35,,,,,|35_35_4_16_,,,
36,,,,,|31_36_4_12_,,,
37,,,,,,,,
38,,|34_38_1_15_,,,,,|37_38_6_17_,
39,,,,,,,|33_39_6_14_,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,|40_43_6_18_,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,|47_48_6_20_,
49,,,,,,,,
50,,,,,,,|43_50_6_19_,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,|49_56_4_21_,,,
57,,,,,,,,
58,,,,,|52_58_4_22_,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,|60_61_5_27_,,
62,,,,,|54_62_4_23_,,,
63,,,,,|55_63_4_24_,,,
64,,,,,|56_64_4_25_,,,
65,,|59_65_1_26_,,,,,|65_65_6_29_,
66,,,,,,,,
67,,,,,|61_67_4_28_,,,
68,,,,,,,,
69,,,,,,|67_69_5_31_,,
70,,,,,,,,
71,,,,,,,|70_71_6_34_,
72,,|66_72_1_30_,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,|69_75_1_33_,,,,,,
76,,,,,|74_76_4_37_,,,
77,,,,,|73_77_4_36_,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,|72_82_5_35_,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,|68_85_6_32_,
86,,,,,,,,
