tickNumber,in27,B14,B11,cn12,B54,B51,os4,in4,B33,
0,,,,,|0_0_4_0_,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,|7_8_8_2_,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,|9_12_4_3_,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,|15_15_5_5_,,,,
16,,,,,|11_16_4_4_,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,|18_21_4_6_,,,,,
22,,,,,,,,,,
23,,,,,|22_23_4_9_,,,,,
24,,,,,,,,,,
25,,,,,|19_25_4_7_,,,,,
26,,,,,|20_26_4_8_,,|24_26_6_10_,,,
27,,,,,,|26_27_5_11_,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,|33_33_8_14_,
34,,,,,|4_34_4_1_,,,,,
35,,,,,,,,,,
36,,,,,,,|34_36_6_15_,,,
37,,,,,,,,,|37_37_8_17_,
38,,,,,|31_38_4_12_,,,,,
39,,,,,|32_39_4_13_,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,|40_42_2_18_,,,,,,,
43,,,,,|35_43_4_16_,,,,|43_43_8_19_,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,|47_49_2_20_,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,|49_57_4_21_,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,|52_62_4_22_,,,,,
63,,,,,,,|59_63_6_26_,,,
64,,,,,|54_64_4_23_,,,,,
65,,,,,|55_65_4_24_,,,,|65_65_8_29_,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,|60_68_5_27_,,,|68_68_8_32_,
69,,,,,,,,,,
70,,,,,,,|66_70_6_30_,,,
71,,,,,,,,,,
72,,,,,|61_72_4_28_,,,,,
73,,,|70_73_2_34_,,,,|69_73_6_33_,,,
74,,,,,,,,,,
75,,,,,,,,,,
