RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644417899,0,1,job0_scenario1_0,B54,0,5,9,
1644417899,4,5,job1_scenario1_4,B33,4,6,8,
1644417899,9,10,job3_scenario1_9,B14,9,8,8,
1644417899,11,12,job2_scenario2_7,B33,7,2,8,
1644417899,11,12,job4_scenario1_11,B51,11,10,7,
1644417899,15,16,job5_scenario0_15,B54,15,12,7,
1644417899,18,19,job6_scenario1_18,B11,18,12,7,
1644417899,20,21,job8_scenario1_20,os4,20,7,6,
1644417899,22,23,job7_scenario1_19,B51,19,8,6,
1644417899,22,23,job9_scenario1_22,B14,22,9,5,
1644417899,24,25,job10_scenario4_24,in27,24,5,4,
1644417900,31,32,job11_scenario0_26,B51,26,12,8,
1644417900,31,32,job12_scenario1_31,B54,31,5,7,
1644417900,32,33,job13_scenario1_32,os4,32,10,7,
1644417900,33,34,job14_scenario2_33,B33,33,3,6,
1644417900,34,35,job15_scenario4_34,in4,34,6,5,
1644417900,35,36,job16_scenario1_35,B11,35,8,4,
1644417900,40,41,job18_scenario3_40,B14,40,2,5,
1644417900,43,44,job17_scenario2_37,os4,37,2,7,
1644417900,43,44,job19_scenario2_43,B14,43,2,6,
1644417900,47,48,job20_scenario3_47,in4,47,1,9,
1644417900,49,50,job21_scenario1_49,B11,49,7,9,
1644417900,52,53,job22_scenario1_52,B54,52,4,8,
1644417901,54,55,job23_scenario1_54,B33,54,9,7,
1644417901,55,56,job24_scenario1_55,os4,55,10,6,
1644417901,56,57,job25_scenario1_56,in4,56,15,5,
1644417901,59,60,job26_scenario4_59,B11,59,2,6,
1644417901,65,66,job27_scenario0_60,B33,60,12,7,
1644417901,65,66,job28_scenario1_61,B54,61,5,6,
1644417901,66,67,job30_scenario4_66,os4,66,3,6,
1644417901,66,67,job29_scenario2_65,B14,65,1,5,
1644417901,67,68,job31_scenario0_67,B51,67,12,4,
1644417901,69,70,job33_scenario4_69,B11,69,4,4,
1644417901,70,71,job32_scenario2_68,os4,68,2,4,
1644417901,72,73,job35_scenario0_72,B54,72,14,5,
1644417901,73,74,job36_scenario1_73,B14,73,6,5,
1644417901,74,75,job34_scenario3_70,B11,70,3,5,
1644417902,78,79,job38_scenario1_78,os4,78,9,6,
1644417902,80,81,job39_scenario0_80,B33,80,11,7,
1644417902,80,81,job37_scenario1_74,B51,74,10,6,
1644417902,82,83,job40_scenario3_82,B14,82,5,5,
1644417902,86,87,job41_scenario1_86,B11,86,8,4,
1644417902,88,89,job43_scenario4_88,B54,88,4,6,
1644417902,89,90,job44_scenario1_89,B14,89,8,5,
1644417902,91,92,job42_scenario0_87,B51,87,11,5,
1644417902,93,94,job46_scenario2_93,B54,93,6,6,
1644417902,94,95,job47_scenario0_94,in4,94,19,5,
1644417902,95,96,job48_scenario2_95,B33,95,2,5,
1644417902,96,97,job49_scenario4_96,cn12,96,8,4,
1644417902,99,100,job50_scenario1_99,B11,99,9,5,
1644417902,99,100,job45_scenario1_91,B14,91,4,4,
1644417903,102,103,job52_scenario2_102,B54,102,5,4,
1644417903,103,104,job53_scenario1_103,os4,103,8,4,
1644417903,103,104,job51_scenario0_101,B51,101,13,3,
1644417903,104,105,job54_scenario0_104,B33,104,14,3,
1644417903,108,109,job55_scenario4_105,B54,105,1,4,
1644417903,110,111,job56_scenario1_108,B11,108,6,5,
1644417903,113,114,job57_scenario2_110,os4,110,3,5,
1644417903,115,116,job59_scenario0_113,in4,113,19,5,
1644417903,118,119,job60_scenario3_118,B54,118,4,7,
1644417903,118,119,job58_scenario3_111,B51,111,4,6,
1644417903,123,124,job61_scenario0_119,B51,119,12,8,
1644417903,123,124,job62_scenario0_123,B54,123,14,7,
1644417903,124,125,job63_scenario1_124,os4,124,6,6,
1644417904,127,128,job64_scenario2_127,B14,127,3,5,
1644417904,128,129,job65_scenario0_128,B33,128,13,4,
1644417904,133,134,job66_scenario1_133,os4,133,8,5,
1644417904,135,136,job67_scenario4_135,in4,135,2,5,
1644417904,138,139,job68_scenario3_138,B14,138,5,7,
1644417904,139,140,job69_scenario3_139,in27,139,9,6,
1644417904,141,142,job70_scenario1_141,B11,141,6,5,
1644417904,142,143,job71_scenario1_142,B54,142,4,6,
1644417904,144,145,job72_scenario3_144,in4,144,3,6,
1644417904,146,147,job73_scenario1_146,B14,146,3,5,
1644417904,147,148,job74_scenario1_147,os4,147,8,5,
1644417904,148,149,job75_scenario4_148,B51,148,1,6,
1644417904,150,151,job76_scenario1_150,B33,150,11,8,
1644417904,151,152,job77_scenario2_151,B54,151,6,7,
1644417904,152,153,job78_scenario0_152,B51,152,14,6,
1644417905,154,155,job79_scenario1_154,B14,154,5,5,
1644417905,156,157,job80_scenario1_156,os4,156,8,5,
1644417905,158,159,job82_scenario1_158,B54,158,3,5,
1644417905,160,161,job83_scenario3_159,B14,159,4,5,
1644417905,162,163,job85_scenario1_161,B54,161,6,6,
1644417905,162,163,job81_scenario2_157,B33,157,2,5,
1644417905,165,166,job84_scenario0_160,os4,160,17,7,
1644417905,165,166,job86_scenario1_162,B14,162,6,6,
1644417905,166,167,job89_scenario3_166,B11,166,1,5,
1644417905,167,168,job88_scenario1_165,B51,165,10,5,
1644417905,167,168,job90_scenario0_167,B33,167,14,4,
1644417905,169,170,job87_scenario1_163,B54,163,5,5,
1644417905,172,173,job93_scenario1_172,in4,172,11,5,
1644417905,172,173,job92_scenario3_171,B14,171,4,4,
1644417905,175,176,job95_scenario3_175,B54,175,6,4,
1644417906,178,179,job94_scenario0_174,B51,174,12,5,
1644417906,180,181,job91_scenario0_168,B14,168,14,4,
1644417906,182,183,job96_scenario1_180,B54,180,4,5,
1644417906,183,184,job97_scenario0_182,B33,182,15,5,
1644417906,190,191,job99_scenario0_190,B54,190,12,6,
1644417906,192,193,job98_scenario0_185,B51,185,11,6,
1644417906,195,196,job100_scenario0_194,os4,194,16,6,
1644417906,195,196,job101_scenario3_195,B14,195,3,5,
1644417906,199,200,job102_scenario0_198,B33,198,13,6,
1644417906,200,201,job103_scenario0_199,B14,199,16,5,
1644417906,203,204,job106_scenario1_203,B54,203,5,5,
1644417906,203,204,job104_scenario1_200,B11,200,9,4,
1644417906,204,205,job105_scenario0_202,B51,202,14,4,
1644417907,205,206,job107_scenario0_204,in4,204,20,3,
1644417907,206,207,job109_scenario2_206,in27,206,14,2,
1644417907,207,208,job110_scenario2_207,cn12,207,18,1,
1644417907,210,211,job108_scenario1_205,B54,205,8,1,
1644417907,212,213,job112_scenario2_211,os4,211,1,1,
1644417907,213,214,job111_scenario2_208,B33,208,4,2,
1644417907,218,219,job113_scenario0_212,B33,212,11,4,
1644417907,218,219,job116_scenario1_218,B14,218,7,3,
1644417907,219,220,job114_scenario0_213,B51,213,12,4,
1644417907,219,220,job115_scenario1_217,B54,217,2,3,
1644417907,219,220,job117_scenario1_219,B11,219,8,2,
1644417907,220,221,job118_scenario1_220,os4,220,8,1,
1644417907,225,226,job119_scenario1_225,B54,225,5,2,
1644417907,226,227,job120_scenario1_226,B14,226,8,4,
1644417907,227,228,job121_scenario4_227,in4,227,3,3,
1644417908,231,232,job122_scenario0_231,B54,231,11,7,
1644417908,236,237,job123_scenario2_233,B14,233,3,8,
1644417908,239,240,job125_scenario1_239,os4,239,7,7,
1644417908,240,241,job126_scenario3_240,B11,240,3,7,
1644417908,240,241,job124_scenario1_238,B14,238,8,6,
1644417909,246,247,job128_scenario2_246,B33,246,1,7,
1644417909,247,248,job129_scenario0_247,B51,247,14,7,
1644417909,248,249,job130_scenario2_248,os4,248,2,7,
1644417909,249,250,job127_scenario2_242,B14,242,6,7,
1644417909,249,250,job131_scenario0_249,B54,249,15,6,
1644417909,251,252,job132_scenario0_251,B33,251,13,6,
1644417909,256,257,job134_scenario1_256,os4,256,6,6,
1644417909,256,257,job133_scenario2_254,B14,254,3,5,
1644417909,261,262,job135_scenario2_259,B14,259,6,5,
1644417909,264,265,job137_scenario1_264,in27,264,12,6,
1644417909,266,267,job136_scenario0_262,B33,262,14,7,
1644417909,268,269,job139_scenario1_268,B54,268,4,7,
1644417909,268,269,job138_scenario2_267,B14,267,5,6,
1644417910,269,270,job140_scenario3_269,B51,269,2,5,
1644417910,273,274,job142_scenario0_273,B51,273,9,6,
1644417910,273,274,job141_scenario1_271,B54,271,4,5,
