RecordTimeStamp,SystemTick,AssignmentTick,JobId,WorkerId,JobArrivalTime,JobTime,FreeWorkersCount
1644418002,0,1,job0_scenario1_0,B54,0,5,9,
1644418002,4,5,job1_scenario1_4,B14,4,8,8,
1644418003,7,8,job2_scenario2_7,os4,7,2,8,
1644418003,9,10,job3_scenario1_9,B54,9,8,7,
1644418003,11,12,job4_scenario1_11,os4,11,12,7,
1644418003,15,16,job5_scenario0_15,B51,15,14,7,
1644418003,18,19,job6_scenario1_18,B14,18,9,7,
1644418003,19,20,job7_scenario1_19,B54,19,5,6,
1644418003,20,21,job8_scenario1_20,B33,20,11,5,
1644418003,22,23,job9_scenario1_22,in27,22,14,4,
1644418003,24,25,job10_scenario4_24,os4,24,4,4,
1644418003,26,27,job11_scenario0_26,B54,26,12,4,
1644418003,31,32,job12_scenario1_31,B14,31,3,6,
1644418003,32,33,job13_scenario1_32,os4,32,10,6,
1644418003,33,34,job14_scenario2_33,B33,33,3,5,
1644418003,34,35,job15_scenario4_34,in4,34,6,4,
1644418003,35,36,job16_scenario1_35,B14,35,7,4,
1644418004,37,38,job17_scenario2_37,B33,37,1,5,
1644418004,40,41,job18_scenario3_40,B11,40,6,6,
1644418004,43,44,job19_scenario2_43,B33,43,6,8,
1644418004,47,48,job20_scenario3_47,B51,47,2,8,
1644418004,49,50,job21_scenario1_49,B54,49,5,7,
1644418004,52,53,job22_scenario1_52,B14,52,7,8,
1644418004,54,55,job23_scenario1_54,os4,54,7,7,
1644418004,55,56,job24_scenario1_55,B54,55,6,7,
1644418004,56,57,job25_scenario1_56,in27,56,10,6,
1644418004,59,60,job26_scenario4_59,B11,59,2,5,
1644418004,60,61,job27_scenario0_60,B51,60,13,5,
1644418004,61,62,job28_scenario1_61,B14,61,6,4,
1644418004,65,66,job29_scenario2_65,os4,65,2,6,
1644418005,66,67,job30_scenario4_66,B11,66,9,5,
1644418005,67,68,job31_scenario0_67,B54,67,15,5,
1644418005,68,69,job32_scenario2_68,os4,68,2,6,
1644418005,69,70,job33_scenario4_69,in4,69,3,5,
1644418005,70,71,job34_scenario3_70,B14,70,6,4,
1644418005,72,73,job35_scenario0_72,B33,72,19,4,
1644418005,73,74,job36_scenario1_73,os4,73,12,4,
1644418005,74,75,job37_scenario1_74,B51,74,10,4,
1644418005,78,79,job38_scenario1_78,B14,78,10,5,
1644418005,80,81,job39_scenario0_80,in4,80,23,4,
1644418005,82,83,job40_scenario3_82,B11,82,1,3,
1644418005,86,87,job41_scenario1_86,B54,86,7,6,
1644418005,87,88,job42_scenario0_87,B51,87,11,5,
1644418005,88,89,job43_scenario4_88,B11,88,3,4,
1644418005,89,90,job44_scenario1_89,B14,89,8,4,
1644418006,91,92,job45_scenario1_91,os4,91,11,3,
1644418006,93,94,job46_scenario2_93,B33,93,3,4,
1644418006,94,95,job47_scenario0_94,B54,94,15,4,
1644418006,95,96,job48_scenario2_95,B11,95,9,3,
1644418006,96,97,job49_scenario4_96,in27,96,7,2,
1644418006,99,100,job50_scenario1_99,B51,99,12,4,
1644418006,101,102,job51_scenario0_101,B33,101,19,3,
1644418006,102,103,job52_scenario2_102,B14,102,5,2,
1644418006,103,104,job53_scenario1_103,os4,103,8,2,
1644418006,104,105,job54_scenario0_104,in4,104,18,3,
1644418006,105,106,job55_scenario4_105,B11,105,3,3,
1644418006,108,109,job56_scenario1_108,B14,108,9,3,
1644418006,110,111,job57_scenario2_110,B54,110,7,4,
1644418006,111,112,job58_scenario3_111,B11,111,5,3,
1644418006,113,114,job59_scenario0_113,B51,113,14,4,
1644418007,118,119,job60_scenario3_118,B14,118,3,6,
1644418007,119,120,job61_scenario0_119,B54,119,18,5,
1644418007,123,124,job62_scenario0_123,B33,123,14,7,
1644418007,124,125,job63_scenario1_124,os4,124,6,6,
1644418007,127,128,job64_scenario2_127,B14,127,3,5,
1644418007,128,129,job65_scenario0_128,B51,128,12,5,
1644418007,133,134,job66_scenario1_133,B14,133,6,6,
1644418007,135,136,job67_scenario4_135,B11,135,4,5,
1644418007,138,139,job68_scenario3_138,in4,138,3,6,
1644418007,139,140,job69_scenario3_139,os4,139,3,5,
1644418007,141,142,job70_scenario1_141,B54,141,3,7,
1644418007,142,143,job71_scenario1_142,B14,142,8,7,
1644418007,144,145,job72_scenario3_144,B51,144,2,7,
1644418007,146,147,job73_scenario1_146,B11,146,8,7,
1644418008,147,148,job74_scenario1_147,os4,147,8,7,
1644418008,148,149,job75_scenario4_148,B51,148,1,6,
1644418008,150,151,job76_scenario1_150,B54,150,5,6,
1644418008,151,152,job77_scenario2_151,B33,151,3,6,
1644418008,152,153,job78_scenario0_152,B51,152,14,5,
1644418008,154,155,job79_scenario1_154,B14,154,5,4,
1644418008,156,157,job80_scenario1_156,B54,156,8,7,
1644418008,157,158,job81_scenario2_157,os4,157,1,6,
1644418008,158,159,job82_scenario1_158,in27,158,14,5,
1644418008,159,160,job83_scenario3_159,in4,159,3,5,
1644418008,160,161,job84_scenario0_160,B33,160,14,5,
1644418008,161,162,job85_scenario1_161,B11,161,12,4,
1644418008,162,163,job86_scenario1_162,B14,162,6,3,
1644418008,163,164,job87_scenario1_163,os4,163,7,3,
1644418008,165,166,job88_scenario1_165,B54,165,3,3,
1644418008,166,167,job89_scenario3_166,in4,166,2,2,
1644418008,167,168,job90_scenario0_167,B51,167,12,2,
1644418008,168,169,job91_scenario0_168,cn12,168,53,1,
1644418008,171,172,job92_scenario3_171,B14,171,4,4,
1644418008,172,173,job93_scenario1_172,B54,172,5,3,
1644418009,174,175,job94_scenario0_174,os4,174,19,4,
1644418009,175,176,job95_scenario3_175,B11,175,5,4,
1644418009,180,181,job96_scenario1_180,B54,180,4,6,
1644418009,182,183,job97_scenario0_182,B51,182,9,6,
1644418009,185,186,job98_scenario0_185,B54,185,15,6,
1644418009,190,191,job99_scenario0_190,B33,190,13,5,
1644418009,194,195,job100_scenario0_194,B51,194,14,6,
1644418009,195,196,job101_scenario3_195,B11,195,2,5,
1644418009,198,199,job102_scenario0_198,B14,198,20,5,
1644418009,199,200,job103_scenario0_199,os4,199,20,4,
1644418009,200,201,job104_scenario1_200,B11,200,9,3,
1644418009,202,203,job105_scenario0_202,B54,202,14,3,
1644418010,203,204,job106_scenario1_203,in27,203,13,2,
1644418010,204,205,job107_scenario0_204,B33,204,15,2,
1644418010,205,206,job108_scenario1_205,in4,205,14,1,
1644418010,209,210,job109_scenario2_206,B51,206,9,1,
1644418010,210,211,job110_scenario2_207,B11,207,12,1,
1644418010,217,218,job111_scenario2_208,B54,208,1,2,
1644418010,217,218,job112_scenario2_211,in27,211,15,1,
1644418010,219,220,job117_scenario1_219,B54,219,10,3,
1644418010,219,220,job113_scenario0_212,B51,212,10,2,
1644418010,219,220,job115_scenario1_217,B14,217,8,1,
1644418010,220,221,job114_scenario0_213,B33,213,13,3,
1644418010,220,221,job116_scenario1_218,os4,218,7,2,
1644418010,220,221,job118_scenario1_220,in4,220,13,1,
1644418010,225,226,job119_scenario1_225,B11,225,11,2,
1644418010,226,227,job120_scenario1_226,cn12,226,21,1,
1644418011,228,229,job121_scenario4_227,B14,227,4,2,
1644418011,231,232,job122_scenario0_231,B51,231,17,3,
1644418011,233,234,job123_scenario2_233,B14,233,3,4,
1644418011,238,239,job124_scenario1_238,B54,238,6,7,
1644418011,239,240,job125_scenario1_239,B14,239,7,6,
1644418011,240,241,job126_scenario3_240,B11,240,3,5,
1644418011,242,243,job127_scenario2_242,os4,242,2,4,
1644418011,246,247,job128_scenario2_246,os4,246,4,6,
1644418011,247,248,job129_scenario0_247,B54,247,14,6,
1644418011,248,249,job130_scenario2_248,B33,248,5,6,
1644418011,249,250,job131_scenario0_249,B51,249,10,6,
1644418011,251,252,job132_scenario0_251,os4,251,17,6,
1644418011,254,255,job133_scenario2_254,B33,254,3,6,
1644418011,256,257,job134_scenario1_256,B14,256,7,5,
1644418012,259,260,job135_scenario2_259,B33,259,2,5,
1644418012,262,263,job136_scenario0_262,B33,262,14,7,
1644418012,264,265,job137_scenario1_264,B14,264,7,7,
1644418012,267,268,job138_scenario2_267,B54,267,6,6,
1644418012,268,269,job139_scenario1_268,B11,268,12,5,
1644418012,269,270,job140_scenario3_269,B51,269,2,5,
1644418012,271,272,job141_scenario1_271,os4,271,7,4,
1644418012,273,274,job142_scenario0_273,B51,273,9,5,
1644418012,274,275,job143_scenario1_274,B54,274,5,5,
1644418012,278,279,job144_scenario2_278,B33,278,7,5,
1644418012,279,280,job145_scenario1_279,B14,279,7,5,
1644418012,280,281,job146_scenario4_280,in4,280,7,5,
1644418012,284,285,job147_scenario0_284,B51,284,15,6,
1644418013,288,289,job148_scenario3_288,B14,288,4,8,
1644418013,290,291,job149_scenario1_290,B54,290,7,7,
1644418013,291,292,job150_scenario4_291,in4,291,3,6,
1644418013,293,294,job151_scenario2_293,B33,293,6,6,
1644418013,296,297,job152_scenario2_296,B14,296,5,6,
1644418013,298,299,job153_scenario3_298,B11,298,3,6,
1644418013,299,300,job154_scenario1_299,B54,299,5,5,
1644418013,301,302,job155_scenario1_301,os4,301,11,6,
1644418013,303,304,job156_scenario4_303,B14,303,5,7,
1644418013,304,305,job157_scenario2_304,B33,304,3,6,
1644418013,305,306,job158_scenario1_305,B11,305,9,6,
1644418013,306,307,job159_scenario3_306,B51,306,2,5,
1644418013,307,308,job160_scenario2_307,B54,307,11,4,
1644418013,308,309,job161_scenario0_308,B33,308,13,4,
1644418013,309,310,job162_scenario3_309,in4,309,4,5,
1644418013,310,311,job163_scenario0_310,B14,310,18,4,
1644418013,312,313,job164_scenario3_312,in27,312,2,3,
1644418013,313,314,job165_scenario4_313,os4,313,8,3,
1644418013,314,315,job166_scenario4_314,B51,314,3,3,
1644418014,316,317,job167_scenario2_316,B11,316,12,4,
1644418014,317,318,job168_scenario1_317,in27,317,15,3,
1644418014,320,321,job169_scenario0_320,B54,320,14,4,
1644418014,321,322,job170_scenario2_321,B51,321,12,3,
1644418014,322,323,job171_scenario1_322,os4,322,11,4,
1644418014,324,325,job172_scenario2_324,B33,324,3,3,
1644418014,325,326,job173_scenario3_325,in4,325,5,2,
1644418014,327,328,job174_scenario2_327,cn12,327,17,1,
1644418014,329,330,job175_scenario0_329,B33,329,14,3,
1644418014,330,331,job176_scenario1_330,B14,330,7,2,
1644418014,332,333,job177_scenario1_332,B11,332,10,2,
1644418014,333,334,job178_scenario1_333,in27,333,13,2,
1644418014,334,335,job179_scenario1_334,os4,334,10,3,
1644418014,335,336,job180_scenario2_335,B54,335,6,3,
1644418014,337,338,job181_scenario3_337,B51,337,1,2,
1644418014,339,340,job182_scenario2_339,B14,339,5,3,
1644418014,340,341,job183_scenario1_340,B51,340,18,2,
1644418014,342,343,job184_scenario0_342,B54,342,10,2,
1644418014,343,344,job185_scenario2_343,B11,343,11,2,
1644418014,345,346,job186_scenario0_345,B33,345,11,5,
1644418015,346,347,job187_scenario3_346,B14,346,5,4,
1644418015,347,348,job188_scenario3_347,os4,347,9,4,
1644418015,348,349,job189_scenario0_348,in4,348,22,3,
1644418015,349,350,job190_scenario1_349,in27,349,12,2,
1644418015,355,356,job191_scenario1_355,B54,355,9,4,
1644418015,356,357,job192_scenario1_356,B11,356,8,3,
1644418015,357,358,job193_scenario1_357,B14,357,7,4,
1644418015,359,360,job194_scenario1_359,os4,359,11,4,
1644418015,360,361,job195_scenario3_360,B51,360,4,3,
1644418015,361,362,job196_scenario2_361,B33,361,3,2,
1644418015,362,363,job197_scenario0_362,in27,362,22,2,
1644418015,365,366,job198_scenario1_365,B54,365,5,6,
1644418015,367,368,job199_scenario1_367,B14,367,6,5,
1644418015,368,369,job200_scenario1_368,B51,368,10,4,
1644418015,371,372,job201_scenario1_371,B54,371,4,6,
1644418015,372,373,job202_scenario4_372,in4,372,1,5,
1644418015,373,374,job203_scenario4_373,B11,373,1,4,
1644418016,374,375,job204_scenario1_374,B14,374,5,5,
1644418016,377,378,job205_scenario1_377,B54,377,4,6,
1644418016,379,380,job206_scenario1_379,os4,379,11,6,
1644418016,381,382,job207_scenario4_381,in4,381,2,6,
1644418016,383,384,job208_scenario3_383,B14,383,6,6,
1644418016,386,387,job209_scenario1_386,B54,386,4,7,
1644418016,387,388,job210_scenario4_387,in27,387,9,6,
