participantId,,park_scenario_a_time,park_scenario_a_time_start,park_scenario_a_time_end,park_scenario_a_quality,park_scenario_a_type,park_scenario_a_order,turn_left_scenario_a_time,turn_left_scenario_a_time_start,turn_left_scenario_a_time_end,turn_left_scenario_a_quality,turn_left_scenario_a_type,turn_left_scenario_a_order,slow_vehicle_scenario_a_time,slow_vehicle_scenario_a_time_start,slow_vehicle_scenario_a_time_end,slow_vehicle_scenario_a_quality,slow_vehicle_scenario_a_type,slow_vehicle_scenario_a_order,foreign_object_scenario_a_time,foreign_object_scenario_a_time_start,foreign_object_scenario_a_time_end,foreign_object_scenario_a_quality,foreign_object_scenario_a_type,foreign_object_scenario_a_order,extreme_weather_scenario_a_time,extreme_weather_scenario_a_time_start,extreme_weather_scenario_a_time_end,extreme_weather_scenario_a_quality,extreme_weather_scenario_a_type,extreme_weather_scenario_a_order,park_scenario_a_time_participant,park_scenario_a_time_participant_start,park_scenario_a_time_participant_end,turn_left_scenario_a_time_participant,turn_left_scenario_a_time_participant_start,turn_left_scenario_a_time_participant_end,slow_vehicle_scenario_a_time_participant,slow_vehicle_scenario_a_time_participant_start,slow_vehicle_scenario_a_time_participant_end,foreign_object_scenario_a_time_participant,foreign_object_scenario_a_time_participant_start,foreign_object_scenario_a_time_participant_end,extreme_weather_scenario_a_time_participant,extreme_weather_scenario_a_time_participant_start,extreme_weather_scenario_a_time_participant_end
B1,,91,1609829430,1609829521,3,easy,ascending,66,1609829551,1609829617,5,easy,ascending,69,1609829641,1609829710,3,easy,ascending,51,1609829728,1609829779,5,easy,ascending,64,1609829792,1609829856,3,easy,ascending,-1609829546,1609829546,0,36,1609829585,1609829621,17,1609829697,1609829714,20,1609829763,1609829783,44,1609829831,1609829875
B11,,162,1609962062,1609962224,4,easy,ascending,82,1609962504,1609962586,3,easy,ascending,295,1609962895,1609963190,4,easy,ascending,77,1609963209,1609963286,5,easy,ascending,78,1609963298,1609963376,5,easy,ascending,117,1609962112,1609962229,52,1609962535,1609962587,55,1609963134,1609963189,18,1609963268,1609963286,23,1609963352,1609963375
B14,,124,1610012026,1610012150,4,easy,ascending,74,1610012155,1610012229,5,easy,ascending,72,1610012238,1610012310,4,easy,ascending,62,1610012321,1610012383,5,easy,ascending,116,1610012390,1610012506,3,easy,ascending,87,1610012060,1610012147,40,1610012191,1610012231,23,1610012289,1610012312,25,1610012358,1610012383,31,1610012476,1610012507
B16,,151,1609964607,1609964758,5,easy,ascending,71,1609964768,1609964839,3,easy,ascending,103,1609965085,1609965188,3,easy,ascending,67,1609965201,1609965268,5,easy,ascending,72,1609965276,1609965348,3,easy,ascending,123,1609964640,1609964763,38,1609964804,1609964842,15,1609965178,1609965193,34,1609965237,1609965271,33,1609965318,1609965351
B17,,198,1610024850,1610025048,3,easy,ascending,109,1610025056,1610025165,4,easy,ascending,0,1610026261,0,,,,65,1610026331,1610026396,5,easy,ascending,112,1610026580,1610026692,4,easy,ascending,0,0,0,37,1610025130,1610025167,18,1610025636,1610025654,0,0,0,42,1610026649,1610026691
B18,,118,1610089686,1610089804,5,easy,ascending,99,1610089893,1610089992,3,easy,ascending,111,1610090000,1610090111,4,easy,ascending,56,1610090219,1610090275,5,easy,ascending,98,1610090282,1610090380,3,easy,ascending,62,1610089746,1610089808,40,1610089953,1610089993,45,1610090071,1610090116,19,1610090255,1610090274,32,1610090344,1610090376
B19,,107,1610092092,1610092199,5,easy,ascending,56,1610092214,1610092270,5,easy,ascending,63,1610092276,1610092339,3,easy,ascending,48,1610092345,1610092393,5,easy,ascending,74,1610092435,1610092509,5,easy,ascending,81,1610092122,1610092203,26,1610092246,1610092272,14,1610092325,1610092339,46,1610092379,1610092425,18,1610092492,1610092510
B2,,154,1609836382,1609836536,3,easy,ascending,108,1609836548,1609836656,3,easy,ascending,62,1609836668,1609836730,3,easy,ascending,67,1609836757,1609836824,3,easy,ascending,83,1609836843,1609836926,5,easy,ascending,105,1609836433,1609836538,72,1609836583,1609836655,17,1609836717,1609836734,31,1609836799,1609836830,24,1609836902,1609836926
B20,,163,1610109028,1610109191,4,easy,ascending,127,1610109196,1610109323,4,easy,ascending,64,1610109603,1610109667,4,easy,ascending,63,1610109676,1610109739,5,easy,ascending,81,1610109745,1610109826,3,easy,ascending,15,1610109177,1610109192,56,1610109269,1610109325,11,1610109656,1610109667,26,1610109714,1610109740,17,1610109810,1610109827
B21,,111,1610098603,1610098714,3,easy,ascending,71,1610098722,1610098793,5,easy,ascending,67,1610098869,1610098936,2,easy,ascending,47,1610099201,1610099248,5,easy,ascending,94,1610099257,1610099351,4,easy,ascending,79,1610098636,1610098715,35,1610098762,1610098797,25,1610098918,1610098943,17,1610099235,1610099252,26,1610099326,1610099352
B22,,210,1610100665,1610100875,3,easy,ascending,122,1610100938,1610101060,3,easy,ascending,86,1610101067,1610101153,5,easy,ascending,67,1610101162,1610101229,5,easy,ascending,403,1610101235,1610101638,5,easy,ascending,110,1610100766,1610100876,79,1610100982,1610101061,25,1610101130,1610101155,24,1610101205,1610101229,34,1610101600,1610101634
B23,,76,1610259610,1610259686,5,easy,descending,0,1610259526,0,,,,60,1610259459,1610259519,5,easy,descending,50,1610259398,1610259448,5,easy,descending,85,1610259272,1610259357,3,easy,descending,44,1610259642,1610259686,31,1610259560,1610259591,11,1610259509,1610259520,21,1610259432,1610259453,48,1610259310,1610259358
B25,,142,1610266680,1610266822,5,easy,descending,60,1610266615,1610266675,3,easy,descending,59,1610266549,1610266608,5,easy,descending,51,1610266490,1610266541,5,easy,descending,72,1610266412,1610266484,5,easy,descending,56,1610266768,1610266824,25,1610266645,1610266670,12,1610266598,1610266610,17,1610266525,1610266542,34,1610266452,1610266486
B27,,171,1610301958,1610302129,3,easy,descending,69,1610301885,1610301954,2,easy,descending,61,1610301817,1610301878,3,easy,descending,49,1610301760,1610301809,5,easy,descending,55,1610301693,1610301748,5,easy,descending,139,1610301991,1610302130,26,1610301920,1610301946,11,1610301867,1610301878,17,1610301793,1610301810,24,1610301729,1610301753
B28,,159,1610348160,1610348319,5,easy,descending,72,1610348077,1610348149,4,easy,descending,67,1610348000,1610348067,5,easy,descending,64,1610347929,1610347993,5,easy,descending,79,1610347845,1610347924,5,easy,descending,123,1610348198,1610348321,31,1610348119,1610348150,14,1610348053,1610348067,19,1610347976,1610347995,25,1610347898,1610347923
B29,,90,1610351446,1610351536,5,easy,descending,59,1610351384,1610351443,5,easy,descending,69,1610351310,1610351379,4,easy,descending,54,1610351251,1610351305,5,easy,descending,88,1610351157,1610351245,3,easy,descending,57,1610351479,1610351536,23,1610351416,1610351439,19,1610351360,1610351379,15,1610351289,1610351304,26,1610351220,1610351246
B3,,144,1609838635,1609838779,4,easy,ascending,122,1609839063,1609839185,3,easy,ascending,62,1609839201,1609839263,5,easy,ascending,50,1609839273,1609839323,5,easy,ascending,82,1609839331,1609839413,3,easy,ascending,102,1609838665,1609838767,30,1609839158,1609839188,16,1609839251,1609839267,19,1609839306,1609839325,36,1609839378,1609839414
B30,,118,1610354874,1610354992,5,easy,descending,89,1610354779,1610354868,3,easy,descending,62,1610354712,1610354774,3,easy,descending,66,1610354574,1610354640,5,easy,descending,89,1610354482,1610354571,4,easy,descending,83,1610354910,1610354993,32,1610354836,1610354868,12,1610354762,1610354774,14,1610354628,1610354642,28,1610354540,1610354568
